timestamp,ram_mb,cpu_percent
1771990415.4731321,916.71875,0.0
1771990417.4738894,1320.01953125,335.4
1771990419.4744418,1192.19140625,367.9
1771990421.475108,1332.53515625,375.4
1771990423.4756026,1407.51171875,373.9
1771990425.4761546,1443.1875,375.9
1771990427.476631,1367.546875,381.9
1771990429.4772367,1441.58203125,391.9
1771990431.489237,1123.6640625,363.1
1771990433.489689,1986.0625,251.2
1771990435.49019,2815.04296875,175.0
1771990437.4908931,3530.1171875,291.4
1771990439.491339,4148.23046875,165.0
1771990441.4917982,4806.9296875,308.9
1771990443.4922576,5754.2890625,249.9
1771990445.492818,6511.171875,213.9
1771990447.4934387,7295.94921875,288.9
1771990449.4939384,7775.73046875,170.5
1771990451.4944758,8394.30859375,306.4
1771990453.494941,9358.27734375,266.4
1771990455.4954119,10160.4375,185.0
1771990457.4960623,10620.3125,294.9
1771990459.4966078,11391.6015625,193.9
1771990461.4971216,12071.5078125,294.4
1771990463.497604,10938.8828125,356.9
1771990465.4981315,10037.4453125,371.9
1771990467.4985945,8261.1484375,353.4
1771990469.4990633,6674.51953125,351.9
1771990471.499496,5715.609375,353.9
1771990473.5001645,4401.74609375,358.9
1771990475.5006568,3009.96484375,346.9
1771990477.501292,1307.16015625,304.9
1771990479.5017624,2063.55078125,245.9
1771990481.502299,2832.53515625,213.9
1771990483.5027797,3960.29296875,285.9
1771990485.5037022,4209.47265625,138.4
1771990487.5041556,4945.078125,320.4
1771990489.504588,5823.296875,234.4
1771990491.505059,6769.41015625,247.4
1771990493.5055926,7633.54296875,286.9
1771990495.506035,7852.34765625,137.0
1771990497.5064669,8470.7734375,331.9
1771990499.5069182,9421.27734375,250.4
1771990501.507423,10177.3125,214.9
1771990503.5079253,11057.06640625,291.4
1771990505.5083733,11456.3671875,163.5
1771990507.5088396,11978.3671875,314.9
1771990509.5093813,10551.99609375,357.9
1771990511.5100238,9943.078125,369.9
1771990513.5106728,8304.50390625,355.9
1771990515.5111904,6574.296875,345.9
1771990517.5116405,5099.79296875,347.9
1771990519.5121067,4811.5625,370.9
1771990521.5125978,2833.171875,341.4
1771990523.5133293,1303.0703125,278.9
1771990525.5137632,2155.3828125,223.9
1771990527.5142431,3079.17578125,271.9
1771990529.514768,3890.2109375,247.9
1771990531.5152433,4710.50390625,183.0
1771990533.5159514,5187.52734375,291.9
1771990535.5166483,5901.0703125,224.4
1771990537.5171628,6775.63671875,302.9
1771990539.517698,7481.65625,279.4
1771990541.5182536,8298.96875,136.0
1771990543.518729,8649.22265625,319.9
1771990545.5192108,9521.44921875,208.0
1771990547.5196753,10424.859375,277.9
1771990549.5207593,11609.2578125,285.4
1771990551.5215132,11781.375,131.9
1771990553.5220766,12174.82421875,350.4
1771990555.5226912,10377.48828125,353.4
1771990557.5232775,9842.75,363.9
1771990559.5240436,8121.515625,357.9
1771990561.5244942,6668.40625,345.4
1771990563.5249536,5058.25,342.9
1771990565.525434,4800.05859375,369.9
1771990567.5259252,2839.56640625,340.4
1771990569.5264337,1295.5,286.9
1771990571.5269198,2140.6015625,227.4
1771990573.527385,3085.79296875,256.9
1771990575.5278943,3861.734375,267.9
1771990577.5284197,4670.1796875,159.0
1771990579.5288463,5039.3046875,298.4
1771990581.5292716,5913.4453125,206.0
1771990583.5297055,6620.3828125,293.9
1771990585.5301623,7493.19921875,282.4
1771990587.53071,8318.38671875,141.0
1771990589.5311728,8653.41796875,321.4
1771990591.5315974,9528.32421875,207.5
1771990593.5320976,10430.046875,278.9
1771990595.5328138,11614.7109375,286.9
1771990597.5333881,11870.078125,133.5
1771990599.5339253,12035.0546875,348.9
