timestamp,ram_mb,cpu_percent
1771994537.6794858,992.25,0.0
1771994539.6800678,1251.890625,578.3
1771994541.6806097,1649.3671875,450.9
1771994543.6810243,1658.3671875,463.9
1771994545.6815157,1672.4296875,502.9
1771994547.682032,1679.1796875,496.4
1771994549.6824028,1683.1171875,465.4
1771994551.6835186,1687.0546875,469.3
1771994553.6839156,1669.33984375,461.4
1771994555.6843407,1672.15234375,526.9
1771994557.6848905,1674.40234375,467.4
1771994559.6853042,1675.52734375,465.9
1771994561.685735,1676.08984375,486.4
1771994563.6862414,1677.21484375,490.9
1771994565.6870484,1677.77734375,487.9
1771994567.688106,1678.33984375,477.3
1771994569.6889935,1678.90234375,500.3
1771994571.6894815,1678.90234375,447.3
1771994573.6899502,1678.01953125,482.4
1771994575.6906028,1678.58203125,489.3
1771994577.6910064,1678.58203125,497.4
1771994579.6914046,1678.58203125,484.4
1771994581.691754,1681.39453125,480.9
1771994583.6926284,1696.01953125,470.9
1771994585.6931748,1852.20703125,459.8
1771994587.6935873,1852.20703125,496.9
1771994589.6940155,1852.20703125,486.9
1771994591.6945016,1852.76953125,468.4
1771994593.694936,1852.76953125,493.4
1771994595.695318,1852.76953125,488.4
1771994597.6956904,1852.76953125,498.9
1771994599.6960967,1852.76953125,483.9
1771994601.6965327,1852.76953125,463.9
1771994603.69697,1852.76953125,488.9
1771994605.6975696,1852.76953125,486.4
1771994607.698146,1852.76953125,493.3
1771994609.698581,1852.76953125,500.4
1771994611.698997,1852.76953125,463.4
1771994613.6993923,1852.76953125,486.9
1771994615.699894,1852.76953125,463.4
1771994617.700281,1852.76953125,504.4
1771994619.7006943,1852.76953125,480.9
1771994621.701054,1852.76953125,557.9
1771994623.7017019,1852.76953125,330.9
1771994625.7021387,1852.76953125,489.4
1771994627.7025566,1852.76953125,481.4
1771994629.7030146,1901.27734375,434.9
1771994631.7034917,1827.29296875,489.4
1771994633.7043226,1827.29296875,479.3
1771994635.7047076,1827.29296875,483.9
1771994637.7051215,1827.29296875,484.4
1771994639.7058864,1827.29296875,502.8
1771994641.706898,1827.29296875,473.3
1771994643.7076714,1827.29296875,512.8
1771994645.7080855,1827.29296875,483.3
1771994647.7085032,1827.29296875,480.4
1771994649.7094965,1827.29296875,508.8
1771994651.709896,1843.60546875,463.8
1771994653.7130795,1843.60546875,484.1
1771994655.7134655,1843.60546875,478.6
1771994657.7138603,1843.60546875,482.9
1771994659.7142966,1843.60546875,484.9
1771994661.7146938,1843.60546875,475.9
1771994663.715107,1843.60546875,489.9
1771994665.7154737,1843.60546875,482.4
1771994667.7158816,1843.60546875,460.4
1771994669.7167983,1843.60546875,501.3
1771994671.717216,1843.60546875,466.9
1771994673.719272,1843.60546875,511.5
1771994675.7199738,1843.60546875,501.3
1771994677.720415,1843.60546875,483.4
1771994679.720897,1844.16796875,504.9
1771994681.722169,1844.16796875,477.8
1771994683.7226195,1844.16796875,493.8
1771994685.7233984,1844.16796875,480.8
1771994687.7238147,1844.16796875,498.9
